Name,Email,Faculty,Password,RegisteredCamps,Enquiries
CHERN,YCHERN@e.ntu.edu.sg;,SCSE,password,camp1|camp2|camp3,1
KOH,KOH1@e.ntu.edu.sg;,ADM,password,camp4,
BRANDON,BR015@e.ntu.edu.sg;,EEE,password,#NULL!,
CALVIN,CT113@e.ntu.edu.sg;,SCSE,password,#NULL!,
CHAN,YCN019@e.ntu.edu.sg;,NBS,password,#NULL!,
DENISE,DL007@e.ntu.edu.sg;,SCSE,password,#NULL!,
DONG,DON84@e.ntu.edu.sg;,ADM,password,#NULL!,
ERNEST,ELI34@e.ntu.edu.sg;,EEE,password,#NULL!,
LEE,LE51@e.ntu.edu.sg;,SCSE,password,#NULL!,
LIU,SL22@e.ntu.edu.sg;,NBS,password,#NULL!,
RAWAL,AKY013@e.ntu.edu.sg;,SSS,password,#NULL!,
