Name,Email,Faculty,Password,RegisteredCamps,Enquiries
CHERN,YCHERN@e.ntu.edu.sg;,SCSE,password,camp1|camp2|camp3,1|2|3
KOH,KOH1@e.ntu.edu.sg;,ADM,password,camp4,4
BRANDON,BR015@e.ntu.edu.sg;,EEE,password,#NULL!,#NULL!
CALVIN,CT113@e.ntu.edu.sg;,SCSE,password,#NULL!,#NULL!
CHAN,YCN019@e.ntu.edu.sg;,NBS,password,#NULL!,#NULL!
DENISE,DL007@e.ntu.edu.sg;,SCSE,password,#NULL!,#NULL!
DONG,DON84@e.ntu.edu.sg;,ADM,password,#NULL!,#NULL!
ERNEST,ELI34@e.ntu.edu.sg;,EEE,password,#NULL!,#NULL!
LEE,LE51@e.ntu.edu.sg;,SCSE,password,#NULL!,#NULL!
LIU,SL22@e.ntu.edu.sg;,NBS,password,#NULL!,#NULL!
RAWAL,AKY013@e.ntu.edu.sg;,SSS,password,#NULL!,#NULL!
