Name,Email,Faculty,Password,RegisteredCamps,Enquiries
CHERN,YCHERN@e.ntu.edu.sg,SCSE,password,camp1|camp2|camp3
CALVIN,CT113@e.ntu.edu.sg,SCSE,password,#NULL!
LEE,LE51@e.ntu.edu.sg,SCSE,password,#NULL!
RAWAL,AKY013@e.ntu.edu.sg,SSS,password,#NULL!
CHAN,YCN019@e.ntu.edu.sg,NBS,password,#NULL!
BRANDON,BR015@e.ntu.edu.sg,EEE,password,#NULL!
DONG,DON84@e.ntu.edu.sg,ADM,password,#NULL!
ERNEST,ELI34@e.ntu.edu.sg,EEE,password,#NULL!
KOH,KOH1@e.ntu.edu.sg,ADM,password,camp4
DENISE,DL007@e.ntu.edu.sg,SCSE,password,#NULL!
LIU,SL22@e.ntu.edu.sg,NBS,password,#NULL!
